OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength,population
2116,15226,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.6109096,-79.83650823, ,6578,603,5908,67,367,1.9.3,11,{09780AB6-B857-4B38-A56A-D6D3581ABFD2},71209724.19,56391.61699,11930
3732,15207,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.50084865,-79.97402649, ,5309,344,4885,80,221,1.9.3,5,{1224E878-50CE-407F-B26C-8C0345828818},138554333.4,124000.3142,8780
4509,15075,RURAL RIDGE,PO BOX,PA,42,42003,ALLEGHENY,150,40.70351862,-79.93065089, ,90,0,1,89,14,1.9.3,5,{C905BDB3-EC1C-4CA0-9E61-2829DF059A4B},1766234.969,10219.52213,207
8113,15076,RUSSELLTON,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.37220649,-80.07521033, ,518,40,344,134,78,1.9.3,15,{E1D40D22-317D-4798-BC57-51EA3506E64D},33472845.45,50382.06597,810
26920,15209,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.4070605,-80.17620598, ,5733,318,5354,61,344,1.9.3,10,{FF8622D8-3B88-4340-934B-43462715996E},135299105.1,102525.4101,10970
26921,16059,VALENCIA,NON-UNIQUE,PA,42,42019,BUTLER,160,40.43935,-80.10208, ,3286,0,3088,198,188,1.9.3,11,{FF7EA897-E227-4495-8FE0-C56D26137DCE},23479564.66,43635.62053,9140
45053,15243,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.62165889,-80.06218593, ,5679,754,4841,84,232,1.9.3,5,{C0BF2DC2-6B9A-45AC-B700-3E7C0508718E},79720454.79,62965.10731,13340
45054,15231,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,151,40.56545938,-80.21316383, ,,,,,,1.9.3,15,{48935354-E8B0-4E13-A8D8-A9BB99E1C627},165817408.7,57540.41493,0
51869,15136,MCKEES ROCKS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32654473,-79.886074, ,9910,678,9056,176,759,1.9.3,11,{54A214A1-E5B3-4F76-9F55-658FB5FF37B3},305410007.9,133055.0283,20030
54725,16046,MARS,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.61473817,-79.80443624, ,5311,0,4517,794,479,1.9.3,11,{C5D9E227-8869-45D5-802E-58533391FB19},99269553.04,105846.0329,18170
58474,15056,LEETSDALE,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.4968904,-79.82986158, ,569,65,471,33,127,1.9.3,5,{D6088F5E-503C-454A-BA51-6581B63067C2},31154320.99,28632.28053,950
